datetimeäáš;value;station_name;nat_abbr;wigos_id;e_coord;n_coord;latitude;longitude;installation_height;param_short
2022-03-07T12:00:00Z;13;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-07T01:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-07T01:00:00Z;-13.2;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tde200h0
2022-03-07T01:00:00Z;-10.8;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200h0
2022-03-07T12:00:00Z;807.1;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-07T01:00:00Z;-10.6;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-07T01:00:00Z;83;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-04T14:00:00Z;24.5;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-03T03:00:00Z;283;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;dkl010h0
2022-03-07T12:00:00Z;-3.9;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-07T23:00:00Z;1484;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-07T12:00:00Z;40.4;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-04T14:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-04T14:00:00Z;60;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-03T03:00:00Z;809.2;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-03T14:00:00Z;11.9;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-07T23:00:00Z;-7.3;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hn
2022-03-07T23:00:00Z;-6.6;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-07T23:00:00Z;49.2;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;ure200h0
2022-03-03T03:00:00Z;-1;Arosa;ARO;0-20000-0-06785;2771032.3;1184823;46.79259722;9.679030556;1880;tre200hx
2022-03-03T14:00:00Z;806.4;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-03T14:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-03T14:00:00Z;60;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;sre000h0
2022-03-04T01:00:00Z;1455;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;ppz850h0
2022-03-04T01:00:00Z;805.9;Arosa;ARO;0-20000-0-06785;2771030.9;1184830.2;46.79266111;9.679013889;-;prestah0
2022-03-04T01:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771031.3;1184825.6;46.79261944;9.679016667;1880;rre150h0
2022-03-06T22:00:00Z;2.5;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h0
2022-03-06T22:00:00Z;9;Arosa;ARO;0-20000-0-06785;2771036.8;1184825.9;46.79262222;9.679088889;1888;fu3010h1
2022-03-06T22:00:00Z;0;Arosa;ARO;0-20000-0-06785;2771033.8;1184822.8;46.79259444;9.67905;1880;gre000h0
